N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,900",300,-0.36%,100,"4,889,252","5,969,783",53.84,"16,222,076",19.66,9.99,
2,SK하이닉스,"128,500",0,0.00%,"5,000","935,483","728,002",49.40,"2,554,716",18.35,9.53,
3,삼성전자우,"74,500",400,+0.54%,100,"613,051","822,887",76.49,"907,941",17.89,N/A,
4,NAVER,"362,500","5,500",+1.54%,100,"595,455","164,263",56.53,"392,112",3.69,15.22,
5,LG화학,"814,000","5,000",+0.62%,"5,000","574,622","70,592",45.50,"180,503",35.43,2.93,
6,카카오,"126,000","2,000",+1.61%,100,"559,260","443,857",33.21,"1,885,517",183.41,2.70,
7,삼성바이오로직스,"842,000","2,000",+0.24%,"2,500","557,109","66,165",10.12,"91,640",209.98,N/A,
8,현대차,"241,500",0,0.00%,"5,000","516,009","213,668",30.03,"1,338,482",29.23,2.04,
9,삼성SDI,"622,000","1,000",+0.16%,"5,000","427,715","68,765",42.47,"129,511",60.93,4.54,
10,기아,"90,000","1,000",+1.12%,"5,000","364,827","405,363",33.30,"4,311,587",16.17,5.05,
11,셀트리온,"264,500","2,500",-0.94%,"1,000","364,789","137,917",20.63,"343,878",60.68,16.68,
12,POSCO,"339,500","7,500",-2.16%,"5,000","295,999","87,187",54.08,"638,121",13.26,3.61,
13,현대모비스,"285,500","2,500",-0.87%,"5,000","270,634","94,793",36.72,"619,486",15.24,4.66,
14,삼성물산,"141,500","1,500",+1.07%,100,"264,445","186,887",14.80,"301,719",16.86,3.81,
15,SK이노베이션,"274,500","1,000",+0.37%,"5,000","253,818","92,466",23.14,"377,026",-25.96,-13.58,
16,LG전자,"155,000","1,500",+0.98%,"5,000","253,654","163,648",30.60,"982,162",14.44,13.23,
17,KB금융,"58,000",400,+0.69%,"5,000","241,169","415,808",68.95,"816,575",6.04,8.53,
18,LG생활건강,"1,535,000","6,000",+0.39%,"5,000","239,739","15,618",45.34,"21,769",33.09,17.92,
19,SK텔레콤,"323,500","3,000",+0.94%,500,"233,115","72,060",45.46,"250,355",14.90,6.44,
